algorithm,function,dimension,interaction,value
PSO,levy,50,position_update_x_topology_gbest,-103.74834451771781
PSO,zakharov,10,velocity_constriction_x_position_update,-1875.6627162957402
PSO,zakharov,10,velocity_constriction_x_topology_gbest,-16.487072631377597
PSO,zakharov,10,position_update_x_topology_gbest,-16.487072631377597
PSO,zakharov,30,velocity_constriction_x_position_update,-388575998.525584
PSO,zakharov,30,velocity_constriction_x_topology_gbest,29.86569420753841
PSO,zakharov,30,position_update_x_topology_gbest,29.86569420753841
PSO,zakharov,50,velocity_constriction_x_position_update,-164646112805.11127
PSO,zakharov,50,velocity_constriction_x_topology_gbest,90.27194506934745
PSO,zakharov,50,position_update_x_topology_gbest,90.27194506934745
PSO,dixon_price,10,velocity_constriction_x_position_update,-71406.76077932824
PSO,dixon_price,10,velocity_constriction_x_topology_gbest,-2126.700336200138
PSO,dixon_price,10,position_update_x_topology_gbest,-2126.700336200138
PSO,dixon_price,30,velocity_constriction_x_position_update,-1011241.4383214324
PSO,dixon_price,30,velocity_constriction_x_topology_gbest,-431895.85327589826
PSO,dixon_price,30,position_update_x_topology_gbest,-431895.85327589826
PSO,dixon_price,50,velocity_constriction_x_position_update,-2718548.5776467207
PSO,dixon_price,50,velocity_constriction_x_topology_gbest,-1851177.5170055632
PSO,dixon_price,50,position_update_x_topology_gbest,-1851177.5170055632
